site,years,ustar_th,model,footprint,tag,sect_filtlow,sect_filthigh
TP39,2009:1:2012,mcm_Ustar_th_Reich,SiteSpec,Kljun80,New_SiteSpec_KLJ_coeffb,NaN,NaN
TP39,2003:1:2012,mcm_Ustar_th_Reich,SiteSpec,Kljun80,New_SiteSpec_KLJ_coeff,NaN,NaN
TP39,2003:1:2011,mcm_Ustar_th_Reich,SiteSpec,Kljun80,New_SiteSpec_KLJ,NaN,NaN
TP39,2012:1:2012,mcm_Ustar_th_Reich,SiteSpec,Kljun80,New_SiteSpec_KLJ12,NaN,NaN
TP39,2002:1:2011,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR,NaN,NaN
TP39,2012:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR,NaN,NaN
TP74,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec,NaN,NaN
TP74,2008:1:2012,mcm_Ustar_th_JJB,FCRN,off,New_FCRN,NaN,NaN
TP74,2003:1:2012,mcm_Ustar_th_JJB,ANN_JJB1,off,New_ANN,NaN,NaN
TP74,2003:1:2012,0.25,SiteSpec,off,Old,NaN,NaN
TP74,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR,NaN,NaN
TP89,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec,NaN,NaN
TP89,2008:1:2012,mcm_Ustar_th_JJB,FCRN,off,New_FCRN,NaN,NaN
TP89,2003:1:2012,mcm_Ustar_th_JJB,ANN_JJB1,off,New_ANN,NaN,NaN
TP89,2003:1:2012,0.3,SiteSpec,off,Old,NaN,NaN
TP89,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR,NaN,NaN
TP02,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec,NaN,NaN
TP02,2008:1:2012,mcm_Ustar_th_JJB,FCRN,off,New_FCRN,NaN,NaN
TP02,2003:1:2012,mcm_Ustar_th_JJB,ANN_JJB1,off,New_ANN,NaN,NaN
TP02,2003:1:2012,0.15,SiteSpec,off,Old,NaN,NaN
TP02,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR,NaN,NaN
TPD,2012:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec,NaN,NaN
TPD,2012:1:2012,mcm_Ustar_th_JJB,FCRN,off,New_FCRN,NaN,NaN
TPD,2012:1:2012,mcm_Ustar_th_JJB,ANN_JJB1,off,New_ANN,NaN,NaN
TPD,2012:1:2012,0.3,SiteSpec,off,Old,NaN,NaN
TPD,2012:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR,NaN,NaN
TPD,2012:1:2012,0.2,FCRN,off,New_FCRN_0p2,NaN,NaN
TPD,2012:1:2012,0.225,FCRN,off,New_FCRN_0p225,NaN,NaN
TPD,2012:1:2012,0.2,SiteSpec,off,New_FCRN_0p2,NaN,NaN
TPD,2012:1:2012,0.225,SiteSpec,off,New_FCRN_0p225,NaN,NaN
TPD,2012:1:2012,0.2,SiteSpec,Schuepp80,New_SiteSpec_fp80u2,NaN,NaN
TPD,2012:1:2012,0.225,SiteSpec,Schuepp80,New_SiteSpec_fp80u225,NaN,NaN
TPD,2012:1:2012,0.2,FCRN,Schuepp80,New_FCRN_fp80u2,NaN,NaN
TPD,2012:1:2012,0.225,FCRN,Schuepp80,New_FCRN_fp80u225,NaN,NaN
TPD,2012:1:2012,0.225,FCRN,Schuepp80,New_FCRN_fp80-sect,61,100
