site,years,ustar_th,model,footprint,tag
TP39,2003:1:2011,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec
TP39,2003:1:2011,mcm_Ustar_th_JJB,FCRN,Schuepp70,New_FCRN
TP39,2012:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec
TP39,2012:1:2012,mcm_Ustar_th_JJB,FCRN,Schuepp70,New_FCRN
TP74,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec
TP74,2008:1:2012,mcm_Ustar_th_JJB,FCRN,off,New_FCRN
TP74,2003:1:2012,mcm_Ustar_th_JJB,ANN_JJB1,off,New_ANN
TP74,2003:1:2012,0.25,SiteSpec,off,Old
TP74,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR
TP74,2002:1:2007,mcm_Ustar_th_JJB,SiteSpec_REpool,off,New_SiteSpec_REpool
TP89,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec
TP89,2008:1:2012,mcm_Ustar_th_JJB,FCRN,off,New_FCRN
TP89,2003:1:2012,mcm_Ustar_th_JJB,ANN_JJB1,off,New_ANN
TP89,2003:1:2012,0.3,SiteSpec,off,Old
TP89,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR
TP89,2002:1:2007,mcm_Ustar_th_JJB,SiteSpec_REpool,off,New_SiteSpec_REpool
TP02,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec
TP02,2008:1:2012,mcm_Ustar_th_JJB,FCRN,off,New_FCRN
TP02,2003:1:2012,mcm_Ustar_th_JJB,ANN_JJB1,off,New_ANN
TP02,2003:1:2012,0.15,SiteSpec,off,Old
TP02,2003:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR
TP02,2002:1:2007,mcm_Ustar_th_JJB,SiteSpec_REpool,off,New_SiteSpec_REpool
TPD,2012:1:2012,mcm_Ustar_th_JJB,SiteSpec,Schuepp70,New_SiteSpec
TPD,2012:1:2012,mcm_Ustar_th_JJB,FCRN,off,New_FCRN
TPD,2012:1:2012,mcm_Ustar_th_JJB,ANN_JJB1,off,New_ANN
TPD,2012:1:2012,0.3,SiteSpec,off,Old
TPD,2012:1:2012,mcm_Ustar_th_JJB,SiteSpec,off,New_SiteSpec_JGR
TPD,2012:1:2012,0.2,FCRN,off,New_FCRN_0p2
TPD,2012:1:2012,0.225,FCRN,off,New_FCRN_0p225
TPD,2012:1:2012,0.2,SiteSpec,off,New_FCRN_0p2
TPD,2012:1:2012,0.225,SiteSpec,off,New_FCRN_0p225
