TP39,TP39,TP39,TP39,TP39,TP39,TP74,TP74,TP74,TP74,TP74,TP74,TP89,TP89,TP89,TP89,TP89,TP89,TP02,TP02,TP02,TP02,TP02,TP02
Year,model,ustar_th,fp,group,model_tag,Year,model,ustar_th,fp,group,model_tag,Year,model,ustar_th,fp,group,model_tag,Year,model,ustar_th,fp,group,model_tag
2002,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2002,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2002,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2002,LE_H,mcm_Ustar_th_JJB,off,1,NaN
2003,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2003,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2003,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2003,LE_H,mcm_Ustar_th_JJB,off,1,NaN
2004,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2004,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2004,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2004,LE_H,mcm_Ustar_th_JJB,off,1,NaN
2005,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2005,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2005,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2005,LE_H,mcm_Ustar_th_JJB,off,1,NaN
2006,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2006,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2006,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2006,LE_H,mcm_Ustar_th_JJB,off,1,NaN
2007,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2007,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2007,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2007,LE_H,mcm_Ustar_th_JJB,off,1,NaN
2008,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2008,LE_H,mcm_Ustar_th_JJB,off,2,NaN,2008,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2008,LE_H,mcm_Ustar_th_JJB,off,2,NaN
2009,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2009,LE_H,mcm_Ustar_th_JJB,off,2,NaN,2009,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2009,LE_H,mcm_Ustar_th_JJB,off,2,NaN
2010,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2010,LE_H,mcm_Ustar_th_JJB,off,2,NaN,2010,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2010,LE_H,mcm_Ustar_th_JJB,off,2,NaN
2011,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2011,LE_H,mcm_Ustar_th_JJB,off,2,NaN,2011,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2011,LE_H,mcm_Ustar_th_JJB,off,2,NaN
2012,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2012,LE_H,mcm_Ustar_th_JJB,off,2,NaN,2012,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2012,LE_H,mcm_Ustar_th_JJB,off,2,NaN
2013,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2013,LE_H,mcm_Ustar_th_JJB,off,2,NaN,2013,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2013,LE_H,mcm_Ustar_th_JJB,off,2,NaN
2014,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2014,LE_H,mcm_Ustar_th_JJB,off,2,NaN,2014,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2014,LE_H,mcm_Ustar_th_JJB,off,2,NaN
2015,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2015,LE_H,mcm_Ustar_th_JJB,off,2,NaN,2015,LE_H,mcm_Ustar_th_JJB,off,1,NaN,2015,LE_H,mcm_Ustar_th_JJB,off,2,NaN
