TP39,TP39,TP39,TP39,TP39,TP74,TP74,TP74,TP74,TP74,TP89,TP89,TP89,TP89,TP89,TP02,TP02,TP02,TP02,TP02
Year,model,ustar_th,fp,group,Year,model,ustar_th,fp,group,Year,model,ustar_th,fp,group,Year,model,ustar_th,fp,group
2002,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2002,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2002,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2002,ANN_JJB1,mcm_Ustar_th_JJB,off,1
2003,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2003,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2003,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2003,ANN_JJB1,mcm_Ustar_th_JJB,off,1
2004,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2004,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2004,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2004,ANN_JJB1,mcm_Ustar_th_JJB,off,1
2005,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2005,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2005,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2005,ANN_JJB1,mcm_Ustar_th_JJB,off,1
2006,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2006,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2006,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2006,ANN_JJB1,mcm_Ustar_th_JJB,off,1
2007,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2007,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2007,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2007,ANN_JJB1,mcm_Ustar_th_JJB,off,1
2008,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2008,ANN_JJB1,mcm_Ustar_th_JJB,off,2,2008,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2008,ANN_JJB1,mcm_Ustar_th_JJB,off,2
2009,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2009,ANN_JJB1,mcm_Ustar_th_JJB,off,2,2009,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2009,ANN_JJB1,mcm_Ustar_th_JJB,off,2
2010,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2010,ANN_JJB1,mcm_Ustar_th_JJB,off,2,2010,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2010,ANN_JJB1,mcm_Ustar_th_JJB,off,2
2011,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2011,ANN_JJB1,mcm_Ustar_th_JJB,off,2,2011,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2011,ANN_JJB1,mcm_Ustar_th_JJB,off,2
2012,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2012,ANN_JJB1,mcm_Ustar_th_JJB,off,2,2012,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2012,ANN_JJB1,mcm_Ustar_th_JJB,off,2
2013,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2013,ANN_JJB1,mcm_Ustar_th_JJB,off,2,2013,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2013,ANN_JJB1,mcm_Ustar_th_JJB,off,2
2014,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2014,ANN_JJB1,mcm_Ustar_th_JJB,off,2,2014,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2014,ANN_JJB1,mcm_Ustar_th_JJB,off,2
2015,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2015,ANN_JJB1,mcm_Ustar_th_JJB,off,2,2015,ANN_JJB1,mcm_Ustar_th_JJB,off,1,2015,ANN_JJB1,mcm_Ustar_th_JJB,off,2
