TP39,TP39,TP39,TP39,TP39,TP39,TP74,TP74,TP74,TP74,TP74,TP74,TP89,TP89,TP89,TP89,TP89,TP89,TP02,TP02,TP02,TP02,TP02,TP02
Year,model,ustar_th,fp,group,model_tag,Year,model,ustar_th,fp,group,model_tag,Year,model,ustar_th,fp,group,model_tag,Year,model,ustar_th,fp,group,model_tag
2002,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2002,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2002,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2002,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN
2003,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2003,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2003,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2003,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN
2004,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2004,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2004,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2004,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN
2005,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2005,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2005,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2005,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN
2006,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2006,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2006,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2006,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN
2007,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2007,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2007,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2007,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN
2008,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2008,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN,2008,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2008,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN
2009,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2009,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN,2009,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2009,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN
2010,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2010,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN,2010,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2010,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN
2011,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2011,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN,2011,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2011,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN
2012,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2012,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN,2012,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2012,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN
2013,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2013,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN,2013,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2013,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN
2014,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2014,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN,2014,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2014,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN
2015,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2015,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN,2015,ANN_JJB1,mcm_Ustar_th_JJB,off,1,NaN,2015,ANN_JJB1,mcm_Ustar_th_JJB,off,2,NaN
