1,TimeVec,NaN,       NaN,       NaN
2,Year,NaN,       NaN,       NaN
3,Month,NaN,       NaN,       NaN
4,Day,NaN,       NaN,       NaN
5,Hour,NaN,       NaN,       NaN
6,Minute,NaN,       NaN,       NaN
7,SampleFreq_Hz,Hz,         8,        22
8,Height_m,m,         0,        30
9,ZeroPlane_m,m,         0,        25
10,v_mean_ms-1,ms-1,       -10,        10
11,v_std,N/A,         0,         5
12,w_mean_ms-1,ms-1,      -0.6,       0.6
13,w_std,N/A,         0,         5
14,H2O_mean_gm-3,gm-3,         0,        40
15,Press_mean_kPa,kPa,        95,       103
16,CO2_mean_mgm-3,mgm-3,       300,      1400
17,CO2_std_mgm-3,mgm-3,         0,      1000
18,Tv_mean_C,degC,       -40,        50
19,e_kPa,kPa,         0,         5
20,H2O_mean_mmolmol-1,mmolmol-1,         0,        40
21,CO2_mean_umolmol-1,umolmol-1,       200,      1000
22,Fc_raw_umolm-2s-1,umolm-2s-1,       -45,        25
23,u_mean_ms-1,ms-1,         0,        12
24,u_std,N/A,         0,         4
25,rho_Cp_gm-3,gm-3,      1000,      1500
26,L,m,      2300,      2600
27,ustar_ms-1,ms-1,         0,         8
28,rho_moist_gm-3,gm-3,      1000,      1500
29,Hs_rot_Wm-2,Wm-2,      -300,      1000
30,Ht_rot_Wm-2,Wm-2,      -300,      1000
31,uw_rot,m2s-2,        -3,         1
32,momentum_rot,kgms-1,     -3000,       500
33,LE_rot_Wm-2,Wm-2,      -300,       800
34,Fc_rot_umolm-2s-1,umolm-2s-1,       -75,        40
35,Z_L,N/A,      -500,       500
36,uw_f_corr_factor,N/A,         0,         3
37,Hs_f_corr_factor,N/A,         0,         2
38,Ht_f_corr_factor,N/A,         0,         3
39,Fc_LE_f_corr_factor,N/A,         0,         2
40,uw_rot_freq,m2s-2,        -3,         1
41,momentum_rot_freq,kgms-1,     -3000,       500
42,Hs_rot_freq_Wm-2,Wm-2,      -200,       800
43,Ht_rot_freq_Wm-2,Wm-2,      -200,       800
44,LE_rot_freq_Wm-2,Wm-2,      -300,       800
45,Fc_rot_freq_umolm-2s-1,umolm-2s-1,       -75,        40
46,LE_WPL_corr_factor,N/A,     -1000,      1000
47,LE_rot_freq_wpl_Wm-2,Wm-2,      -100,       800
48,Fc_WPL_corr_factor,N/A,     -1000,      1000
49,Fc_rot_freq_wpl_umolm-2s-1,umolm-2s-1,       -55,        30
