Year,EST,Year,Year,Year,NaN,NaN,NaN
Month,EST,Month,Month,Month,Met2,%d,NaN
Day,EST,Day,Day,Day,Met2,%d,NaN
Hour,EST,Hour,Hour,Hour,NaN,NaN,NaN
Minute,EST,Minute,Minute,Minute,NaN,NaN,NaN
DTIME,EST,dt,dt,dt,NaN,NaN,NaN
CM3_DownSW_Avg,W/m2,CM3Up_Avg,met,Final_Cleaned,Met2,%7.3f,avg
CM3_DownSW_Max,W/m2,CM3Up_Max,met,Final_Cleaned,Met2,%7.3f,max
CM3_DownSW_Min,W/m2,CM3Up_Min,met,Final_Cleaned,Met2,%7.3f,min
CM3_UpSW_Avg,W/m2,CM3Dn_Avg,met,Final_Cleaned,Met2,%7.3f,avg
CM3_UpSW_Max,W/m2,CM3Dn_Max,met,Final_Cleaned,Met2,%7.3f,max
CM3_UpSW_Min,W/m2,CM3Dn_Min,met,Final_Cleaned,Met2,%7.3f,min
CG3_DownLW_Avg,W/m2,CG3Up_Avg,met,Final_Cleaned,NaN,NaN,NaN
CG3_DownLW_Max,W/m2,CG3Up_Max,met,Final_Cleaned,NaN,NaN,NaN
CG3_DownLW_Min,W/m2,CG3Up_Min,met,Final_Cleaned,NaN,NaN,NaN
CG3_UpLW_Avg,W/m2,CG3Dn_Avg,met,Final_Cleaned,NaN,NaN,NaN
CG3_UpLW_Max,W/m2,CG3Dn_Max,met,Final_Cleaned,NaN,NaN,NaN
CG3_UpLW_Min,W/m2,CG3Dn_Min,met,Final_Cleaned,NaN,NaN,NaN
CNR1_DownLW_Avg,W/m2,CG3UpCo_Avg,met,Final_Cleaned,Met2,%7.3f,avg
CNR1_UpLW_Avg,W/m2,CG3DnCo_Avg,met,Final_Cleaned,Met2,%7.3f,avg
CNR1_Temp_Avg,degC,CNR1TC_Avg,met,Final_Cleaned,Met2,%6.3f,avg
CNR1_NetRad_SW_Avg,W/m2,NetRad_SW,met,Final_Cleaned,Met2,%7.3f,avg
CNR1_NetRad_LW_Avg,W/m2,NetRad_LW,met,Final_Cleaned,Met2,%7.3f,avg
Albedo_Avg,n/a,Albedo_Avg,met,Final_Cleaned,Met2,%6.3f,avg
CNR1_DownSW_Avg,W/m2,UpSWRad,met,Final_Cleaned,Met2,%7.3f,avg
CNR1_UpSW_Avg,W/m2,DownSWRad,met,Final_Cleaned,Met2,%7.3f,avg
CNR1_NetRad_Avg,W/m2,NetRad_Total,met,Final_Cleaned,Met2,%7.3f,avg
PanelTemp_Avg,degC,PanelTemp,met,Final_Cleaned,Met2,%6.3f,avg
HMP45C_AirTemp_Avg,degC,AirTemp_Avg,met,Final_Cleaned,Met2,%6.3f,avg
HMP45C_AirTemp_Max,degC,AirTemp_Max,met,Final_Cleaned,Met2,%6.3f,max
HMP45C_AirTemp_Min,degC,AirTemp_Min,met,Final_Cleaned,Met2,%6.3f,min
WindChill_Avg,degC,WindChillTemp,met,Final_Cleaned,Met2,%6.3f,avg
HMP45C_RelHum_Avg,%,RelHum_Avg,met,Final_Cleaned,Met2,%7.3f,avg
HMP45C_RelHum_Max,%,RelHum_Max,met,Final_Cleaned,Met2,%7.3f,max
HMP45C_RelHum_Min,%,RelHum_Min,met,Final_Cleaned,Met2,%7.3f,min
DewPoint_Avg,degC,DewPt,met,Final_Cleaned,Met2,%6.3f,avg
VapPres_Avg,kPa,VapPres,met,Final_Cleaned,Met2,%7.3f,avg
SatVapPres_Avg,kPa,SatVapPres,met,Final_Cleaned,Met2,%7.3f,avg
Humidex_Avg,degC,Humidex,met,Final_Cleaned,Met2,%6.3f,avg
WindSpd_m/s_Avg,m/s,WindSpd_ms,met,Final_Cleaned,Met2,%6.3f,avg
WindDir_Avg,deg,WindDir,met,Final_Cleaned,Met2,%7.3f,avg
WindDir_Std_Avg,deg,WindDir_Stdev,met,Final_Cleaned,Met2,%7.3f,avg
WindSpd_k/h_Avg,k/h,WindSpd_kph,met,Final_Cleaned,Met2,%6.3f,avg
WindDir2_Avg,deg,WindDir2,met,Final_Cleaned,Met2,%7.3f,avg
WindDir_Std2_Avg,deg,WindDir2_Stdev,met,Final_Cleaned,Met2,%7.3f,avg
WindSpd_k/h_Max,k/h,WindSpd_kph_Max,met,Final_Cleaned,Met2,%6.3f,max
WindDir_WindSpd_Max,deg,WindDir_WSMax,met,Final_Cleaned,Met2,%7.3f,max
WindSpd_k/h_Min,k/h,WS_kmph_Min,met,Final_Cleaned,Met2,%6.3f,min
WindDir_WindSpd_Min,deg,WindDir_WSMin,met,Final_Cleaned,Met2,%7.3f,min
Pressure_Raw_Avg,kPa,Pressure_Raw,met,Final_Cleaned,Met2,%7.3f,avg
Pressure,kPa,Pressure,met,Final_Cleaned,Met2,%7.3f,avg
Pressure_Max,kPa,Pressure_Max,met,Final_Cleaned,Met2,%7.3f,max
Pressure_Min,kPa,Pressure_Min,met,Final_Cleaned,Met2,%7.3f,min
Precipitation_Sum,mm,Precip,met,Final_Cleaned,Met2,%6.4f,sum
