Year,UTC,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year,NaN,NaN
Month,UTC,Month,Month,Month,NaN,NaN,Month,Month,Month,Month,Month,NaN,NaN
Day,UTC,Day,Day,Day,NaN,NaN,Day,Day,Day,Day,Day,NaN,NaN
Hour,UTC,Hour,Hour,Hour,NaN,NaN,Hour,Hour,Hour,Hour,Hour,NaN,NaN
Minute,UTC,Minute,Minute,Minute,NaN,NaN,Minute,Minute,Minute,Minute,Minute,NaN,NaN
DTIME,UTC,dt,dt,dt,NaN,NaN,dt,dt,dt,dt,dt,NaN,NaN
SoilHeatFluxPlate_A_3cm,W/m2,H_FluxA,met,Final_Cleaned,NaN,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,G_1_1_1
SoilHeatFluxPlate_B_3cm,W/m2,H_FluxB,met,Final_Cleaned,NaN,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,G_2_1_1
SoilTemp_DR_5cm,degC,Ts_DR5_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_1_1_1
SoilTemp_DR_20cm,degC,Ts_DR20_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_1_2_1
SoilTemp_DR_50cm,degC,Ts_DR50_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_1_3_1
SoilTemp_REF_5cm,degC,Ts_REF5_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_2_1_1
SoilTemp_REF_20cm_A,degC,Ts_REF20A_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_2_2_1
SoilTemp_REF_50cm,degC,Ts_REF50_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_2_3_1
SoilTemp_REF_20cm_B,degC,Ts_REF20B_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_2_2_2
SoilTemp_NL_5cm,degC,Ts_NonLitter_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_3_1_1
AirTemp_DR_10cm,degC,Ts_DR_Ta_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TA_1_1_1
AirTemp_REF_10cm,degC,Ts_REF_Ta_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TA_2_1_1
VWC_DR_5cm,m3/m3,SM_DR5_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_1_1_1
VWC_DR_20cm,m3/m3,SM_DR20_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_1_2_1
VWC_DR_50cm,m3/m3,SM_DR50_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_1_3_1
VWC_REF_5cm,m3/m3,SM_REF5_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_2_1_1
VWC_REF_20cm,m3/m3,SM_REF20_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_2_2_1
VWC_REF_50cm,m3/m3,SM_REF50_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_2_3_1
Sapflow_Velocity_Tree1,m/s,Js_clean1,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree2,m/s,Js_clean2,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree3,m/s,Js_clean3,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree4,m/s,Js_clean4,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree5,m/s,Js_clean5,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree6,m/s,Js_clean6,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree7,m/s,Js_clean7,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree8,m/s,Js_clean8,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree9,m/s,Js_clean9,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree10,m/s,Js_clean10,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree11,m/s,Js_clean11,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree12,m/s,Js_clean12,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree13,m/s,Js_clean13,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
