Year,Year,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year,YEAR,NaN
Month,Month,Month,Month,Month,NaN,NaN,Month,Month,Month,Month,Month,NaN,NaN
Day,Day,Day,Day,Day,NaN,NaN,Day,Day,Day,Day,Day,NaN,NaN
Hour,Hour,Hour,Hour,Hour,NaN,NaN,Hour,Hour,Hour,Hour,Hour,NaN,NaN
Minute,Minute,Minute,Minute,Minute,NaN,NaN,Minute,Minute,Minute,Minute,Minute,NaN,NaN
DTIME,DTIME,dt,dt,dt,NaN,NaN,dt,dt,dt,dt,dt,DTIME,NaN
NetEcosystemExchange_AbvCnpy_36m,umol/m2/s,NEE_all,mcm_data_compiler,NaN,Flx2,%6.3f,NEE,NEE,NEE,NEE,NEE,NaN,NEE
CO2Flux_AbvCnpy_36m,umol/m2/s,FC_all,mcm_data_compiler,NaN,Flx2,%6.3f,FC,FC,FC,FC,FC,FC,FC
LatentHeatFlux_AbvCnpy_36m,W/m2,LE_all,mcm_data_compiler,NaN,Flx2,%7.3f,LE,LE,LE,NaN,NaN,NaN,LE
SensibleHeatFlux_AbvCnpy_36m,W/m2,H_all,mcm_data_compiler,NaN,Flx2,%7.3f,H,H,H,H,H,NaN,H
FrictionVelocity_AbvCnpy_36m,m/s,Ustar_all,mcm_data_compiler,NaN,Flx2,%5.3f,Ustar,Ustar,Ustar,Ustar,Ustar,UST,USTAR
CO2StorageFlux_GndtoTop,umol/m2/s,dcdt_all,mcm_data_compiler,NaN,Flx2,%6.3f,dcdt,NaN,NaN,dcdt,NaN,SFC,SC
OneLevel_CO2StorageFlux_Top,umol/m2/s,dcdt_1h_all,mcm_data_compiler,NaN,Flx2,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TwoLevel_CO2StorageFlux_Top,umol/m2/s,dcdt_2h_all,mcm_data_compiler,NaN,Flx2,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NetEcosystemProductivity_AbvCnpy_36m,umol/m2/s,NEP_all,mcm_data_compiler,NaN,Flx3,%6.3f,NEP,NEP,NEP,NaN,NaN,NaN,NaN
EddyCovariance_CO2_AbvCnpy_36m,ppm,CO2_top_all,mcm_data_compiler,NaN,Flx1,%8.3f,NaN,NaN,NaN,NaN,NaN,CO2,CO2_1_1_1
LI820_CO2_Cnpy_16m,ppm,CO2_cpy_all,mcm_data_compiler,NaN,Flx1,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,CO2_1_2_1
GapFilledPIPref_LE,W/m2,LE_filled,gapfilled_LE_H,New_SiteSpec,Flx2,%7.3f,NaN,LE_filled,LE_filled,NaN,LE_filled,LE,LE_F
GapFilledPIPref_H,W/m2,H_filled,gapfilled_LE_H,New_SiteSpec,Flx2,%7.3f,NaN,H_filled,H_filled,NaN,H_filled,H,H_F
NEE_CPEC,umol/m2/s,NEE_cleaned,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FC_CPEC,umol/m2/s,Fc,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO2_top_CPEC,ppm,CO2_top,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO2_cpy_CPEC,ppm,CO2_Cnpy,met,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_CPEC,umol/m2/s,dcdt,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_1h_CPEC,umol/m2/s,dcdt_1h,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_2h_CPEC,umol/m2/s,dcdt_2h,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LE_CPEC,W/m2,LE_cleaned,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H_CPEC,W/m2,Hs_cleaned,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ustar_CPEC,m/s,Ustar,cpec,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H2O_CPEC,mmol/mol,H2O_irga,cpec,Final_Cleaned,NaN,%7.3f,NaN,NaN,NaN,NaN,NaN,H2O,H2O
SensibleHeatStorageFlux_AbvCnpy_GndtoTop,W/m2,Jtfill,cpec,Final_Calculated,Flx2,%7.3f,Jt,Jt,NaN,NaN,NaN,SH,SH_F
SoilHeatFlux_0cm,W/m2,SoilHeatFlux,met,Calculated4,Flx2,%7.3f,SHF,SHF,NaN,NaN,NaN,FG,G_F_1
APAR,umol/m2/s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FPAR,%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
z_EC,m,Heights,params,1,NaN,NaN,z_meas,NaN,NaN,NaN,NaN,NaN,NaN
z_Tree,m,Heights,params,2,NaN,NaN,z_tree,NaN,NaN,NaN,NaN,NaN,NaN
NetRad_AbvCnpy_36m,W/m2,NetRad_AbvCnpy,met,Final_Cleaned,Met2,%7.3f,Rn,Rn,Rn,NaN,NaN,NaN,NETRAD
DownPAR_AbvCnpy_36m,umol/m2/s,DownPAR_AbvCnpy,met,Final_Cleaned,Met2,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,PPFD_IN
UpPAR_AbvCnpy_36m,umol/m2/s,UpPAR_AbvCnpy,met,Final_Cleaned,Met2,%8.3f,NaN,NaN,NaN,NaN,NaN,PARout,PPFD_OUT
DownPAR_BlwCnpy_2m,umol/m2/s,DownPAR_BlwCnpy_2m,met,Final_Cleaned,Met2,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,PPFD_BC_IN
CNR4_GlobalShortwaveRad_AbvCnpy_36m,W/m2,DownShortwaveRad,met,Final_Cleaned,Met2,%7.3f,SW_down,SW_down,SW_down,NaN,SW_down,NaN,SW_IN
CNR4_UpShortwaveRad_AbvCnpy_36m,W/m2,UpShortwaveRad,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,Rgout,SW_OUT
CNR4_DownLongwaveRad_AbvCnpy_36m,W/m2,DownLongwaveRad_AbvCnpy,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,LW_IN
CNR4_UpLongwaveRad_AbvCnpy_36m,W/m2,UpLongwaveRad_AbvCnpy,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,LW_OUT
CNR4_NetShortwaveRad_Cnpy_36m,W/m2,NetShortwave_AbvCnpy,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CNR4_NetLongwaveRad_Cnpy_36m,W/m2,NetLongwave_AbvCnpy,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AirTemp_AbvCnpy_36m,degC,AirTemp_AbvCnpy,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TA
RelHum_AbvCnpy_36m,%,RelHum_AbvCnpy,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,RH
WindSpd_AbvCnpy_36m,m/s,WindSpd,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,WS
WindDir_AbvCnpy_36m,deg,WindDir,met,Final_Cleaned,Met2,%7.3f,W_Dir,W_Dir,W_Dir,W_Dir,W_Dir,WD,WD
SurfPress,kPa,Pressure,met,Final_Cleaned,Met2,%7.3f,APR,APR,NaN,NaN,NaN,NaN,PA
TBRG_Rain_2m,mm,PrecipA,tpd_ppt,Final_Cleaned,Met2,%6.3f,PPT,PPT,PPT,PPT,PPT,NaN,P_RAIN
SnowDepth_BlwCnpy,m,SnowDepth,met,Final_Cleaned,Met2,%5.3f,NaN,Snow_Depth,Snow_Depth,NaN,Snow_Depth,NaN,D_SNOW
SoilTemp_A_2cm,degC,SoilTemp_A_2cm,met,Final_Cleaned,Met2,%6.3f,Ts2cmA,Ts2cmA,NaN,NaN,Ts2cmA,NaN,TS_1_1_1
SoilTemp_A_5cm,degC,SoilTemp_A_5cm,met,Final_Cleaned,Met2,%6.3f,Ts5cmA,Ts5cmA,NaN,NaN,Ts5cmA,NaN,TS_1_2_1
SoilTemp_A_10cm,degC,SoilTemp_A_10cm,met,Final_Cleaned,Met2,%6.3f,Ts10cmA,Ts10cmA,NaN,NaN,Ts10cmA,NaN,TS_1_3_1
SoilTemp_A_20cm,degC,SoilTemp_A_20cm,met,Final_Cleaned,Met2,%6.3f,Ts20cmA,Ts20cmA,NaN,NaN,Ts20cmA,NaN,TS_1_4_1
SoilTemp_A_50cm,degC,SoilTemp_A_50cm,met,Final_Cleaned,Met2,%6.3f,Ts50cmA,Ts50cmA,NaN,NaN,Ts50cmA,NaN,TS_1_5_1
