Year,EST,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year
Month,EST,Month,Month,Month,Met2,%d,Month,Month,Month,Month,Month
Day,EST,Day,Day,Day,Met2,%d,Day,Day,Day,Day,Day
Hour,EST,Hour,Hour,Hour,NaN,NaN,Hour,Hour,Hour,Hour,Hour
Minute,EST,Minute,Minute,Minute,NaN,NaN,Minute,Minute,Minute,Minute,Minute
DTIME,EST,dt,dt,dt,NaN,NaN,dt,dt,dt,dt,dt
CM3_DownSW_Avg,W/m2,CM3Up_Avg,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CM3_DownSW_Max,W/m2,CM3Up_Max,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CM3_DownSW_Min,W/m2,CM3Up_Min,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CM3_UpSW_Avg,W/m2,CM3Dn_Avg,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CM3_UpSW_Max,W/m2,CM3Dn_Max,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CM3_UpSW_Min,W/m2,CM3Dn_Min,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CG3_DownLW_Avg,W/m2,CG3Up_Avg,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CG3_DownLW_Max,W/m2,CG3Up_Max,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CG3_DownLW_Min,W/m2,CG3Up_Min,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CG3_UpLW_Avg,W/m2,CG3Dn_Avg,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CG3_UpLW_Max,W/m2,CG3Dn_Max,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CG3_UpLW_Min,W/m2,CG3Dn_Min,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CG3_DownCo_Avg,W/m2,CG3UpCo_Avg,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CG3_UpCo_Avg,W/m2,CG3DnCo_Avg,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CNR1_Temp,degC,CNR1TC_Avg,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
CNR1_NetRad_SW,W/m2,NetRad_SW,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CNR1_NetRad_LW,W/m2,NetRad_LW,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
Albedo,NaN,Albedo_Avg,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
CNR1_DownSW,W/m2,UpSWRad,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CNR1_UpSW,W/m2,DownSWRad,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
CNR1_NetRad,W/m2,NetRad_Total,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
PanelTemp,degC,PanelTemp,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
HMP45C_AirTemp_Avg,degC,AirTemp_Avg,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
HMP45C_AirTemp_Max,degC,AirTemp_Max,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
HMP45C_AirTemp_Min,degC,AirTemp_Min,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
WindChill,degC,WindChillTemp,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
HMP45C_RelHum_Avg,%,RelHum_Avg,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
HMP45C_RelHum_Max,%,RelHum_Max,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
HMP45C_RelHum_Min,%,RelHum_Min,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
DewPoint,degC,DewPt,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
VapPres,kPa,VapPres,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
SatVapPres,kPa,SatVapPres,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
Humidex,degC,Humidex,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
WindSpd_m/s,m/s,WindSpd_ms,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
WindDir,deg,WindDir,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
WindDir_Std,deg,WindDir_Stdev,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
WindSpd_k/h,k/h,WindSpd_kph,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
WindDir2,deg,WindDir2,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
WindDir_Std2,deg,WindDir2_Stdev,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
WindSpd_k/h_Max,k/h,WindSpd_kph_Max,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
WindDir_WindSpd_Max,deg,WindDir_WSMax,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
WindSpd_k/h_Min,k/h,WS_kmph_Min,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
WindDir_WindSpd_Min,deg,WindDir_WSMin,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
Pressure_Raw,kPa,Pressure_Raw,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
Pressure,kPa,Pressure,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
Pressure_Max,kPa,Pressure_Max,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
Pressure_Min,kPa,Pressure_Min,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
Precipitation,mm,Precip,met,Final_Cleaned,Met2,%6.4f,NaN,NaN,NaN,NaN,NaN
