Tree,D_cm,r_cm,wa_cm2,sw_cm2,wa_m2,sw_m2,AsAw
1,36.4,18.2,1040.620272,242.7910246,0.104062027,0.024279102,0.23331375238347
2,26.2,13.1,539.1282599,116.8006615,0.053912826,0.011680066,0.216647259410961
3,37,18.5,1075.209178,251.7872448,0.107520918,0.025178724,0.234175121161075
4,47.3,23.65,1757.161973,434.9041895,0.175716197,0.043490419,0.247503757436772
5,41.45,20.73,1350.044581,324.1878309,0.135004458,0.032418783,0.240131203667363
6,43.4,21.7,1479.343315,359.1097965,0.147934332,0.03591098,0.242749465350612
7,37.5,18.75,1104.465234,259.4219933,0.110446523,0.025942199,0.234884705243279
8,33.5,16.75,881.4123444,201.8330682,0.088141234,0.020183307,0.228988250833883
9,30.9,15.45,749.905387,168.6208246,0.074990539,0.016862082,0.22485612485063
10,40,20,1256.636,299.4897156,0.1256636,0.029948972,0.238326548021862
11,31.5,15.75,779.3106694,175.9940215,0.077931067,0.017599402,0.225832940282981
12,37.7,18.75,1104.465234,262.5110865,0.110446523,0.026251109,0.237681624436471
13,54.4,27.2,2324.273946,593.6895438,0.232427395,0.059368954,0.255430105388395
14,44.7,22.35,1569.294891,383.4881696,0.156929489,0.038348817,0.244369730917814
15,36.25,18.13,1032.630894,240.5701041,0.103263089,0.02405701,0.232968142179051
16,43.7,21.85,1499.865752,364.6573727,0.149986575,0.036465737,0.243126673170582
17,45.8,22.54,1596.089826,404.8066548,0.159608983,0.040480665,0.25362397679083
18,35.5,17.75,989.7971994,229.6337857,0.09897972,0.022963379,0.232000848254572
19,38.7,19.35,1176.281982,278.2592372,0.117628198,0.027825924,0.236558278313504
20,37.1,18.55,1081.028973,253.3041512,0.108102897,0.025330415,0.234317633504308
21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,28,14,615.75164,135.4138518,0.061575164,0.013541385,0.21991634484319
23,40.4,20.2,1281.894384,306.1954259,0.128189438,0.030619543,0.23886166815085
