Tree,D_cm,r_cm,wa_cm2,sw_cm2,wa_m2,sw_m2
1,NaN,NaN,NaN,23.9,NaN,0.00239
2,NaN,NaN,NaN,32.2,NaN,0.00322
3,NaN,NaN,NaN,34.1,NaN,0.00341
4,NaN,NaN,NaN,19.6,NaN,0.00196
5,NaN,NaN,NaN,29.5,NaN,0.00295
6,NaN,NaN,NaN,34.1,NaN,0.00341
7,NaN,NaN,NaN,24.2,NaN,0.00242
8,NaN,NaN,NaN,25.9,NaN,0.00259
9,NaN,NaN,NaN,28.4,NaN,0.00284
10,NaN,NaN,NaN,24.8,NaN,0.00248
11,NaN,NaN,NaN,24.7,NaN,0.00247
12,NaN,NaN,NaN,31.9,NaN,0.00319
13,NaN,NaN,NaN,27.5,NaN,0.00275
14,NaN,NaN,NaN,25.9,NaN,0.00259
15,NaN,NaN,NaN,31.9,NaN,0.00319
16,NaN,NaN,NaN,30.3,NaN,0.00303
