Tree,D_cm,r_cm,wa_cm2,sw_cm2,wa_m2,sw_m2,AsAw
1,18.46197,9.23099,267.69861,53.59607,0.02677,0.00536,0.200224131
2,20.56282,10.28141,332.08952,68.12268,0.03321,0.00681,0.205058717
3,22.91831,11.45916,412.52961,86.71775,0.04125,0.00867,0.210181818
4,12.44592,6.22296,121.65883,22.28591,0.01217,0.00223,0.183237469
5,19.16226,9.58113,288.39194,58.22565,0.02884,0.00582,0.201803051
6,22.91831,11.45916,412.52961,86.71775,0.04125,0.00867,0.210181818
7,15.91549,7.95775,198.94368,38.52016,0.01989,0.00385,0.193564605
8,15.59718,7.79859,191.06551,36.82669,0.01911,0.00368,0.192569335
9,19.22592,9.61296,290.31135,58.65701,0.02903,0.00587,0.202204616
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,18.14366,9.07183,258.54721,51.56134,0.02585,0.00516,0.199613153
16,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
